%    atsl_version	                 1.0
%         rectime	             300.000
%  ephys_filename	 2006_10_02_0000.abf
%      ephys_chan	          IN 0 extra
%    ev_threshold	            -0.05423
% burst_interval1	              100.00
% burst_interval2	              500.00
%     burst_minev	                   3
%   silentper_dur	             2000.00
% silentper_maxev	                   1
%    data_quality	                 NaN
%         comment	generated by burstdetguifunc
  66.7525        0
  66.7577        0
  66.7725        0
  66.7851        0
  66.8167        0
  66.8217        0
  66.8345        0
  66.8458        0
  66.8576        0
  66.8710        0
  66.8836        0
  66.8863        0
  66.8977        0
  66.9355        0
  66.9644        0
  66.9779        0
  66.9920        0
  67.0052        0
  67.0563        0
  67.0667        0
  67.1249        0
  67.1273        0
  67.1326        0
  67.1409        0
  67.1518        0
  67.1620        0
  67.1805        0
  67.1999        0
  67.2087        0
  67.2163        0
  67.2255        0
  67.2338        0
  67.2474        0
  67.2641        0
  67.2963        0
  67.3043        0
  67.3212        0
  67.4196        0
  67.4337        0
  67.4464        0
  67.4612        0
  67.4775        0
  67.5104        0
  67.5207        0
  67.5576        0
  67.5694        0
  67.5799        0
  67.5911        0
  67.6069        0
  67.6189        0
  67.6587        0
  67.6612        0
  67.6693        0
  67.6726        0
  67.6816        0
  67.6935        0
  67.7076        0
  67.7149        0
  67.7230        0
  67.7302        0
  67.7546        0
  67.7939        0
  67.8033        0
  67.8114        0
  67.8226        0
  67.8500        0
  67.8539        0
  67.8671        0
  67.8763        0
  67.8782        0
  67.8836        0
  67.9039        0
  67.9248        0
  67.9308        0
  67.9416        0
  67.9505        0
  67.9647        0
  67.9897        0
  67.9985        0
  68.0076        0
  68.0258        0
  68.0409        0
  68.0483        0
  68.0515        0
  68.0635        0
  68.1493        0
  68.1564        0
  68.1806        0
  68.2210        0
  68.2335        0
  68.2513        0
  68.3081        0
  68.3419        0
  68.3474        0
  68.3538        0
  68.3632        0
  68.3698        0
  68.3756        0
  68.3821        0
  68.3881        0
  68.3905        0
  68.3960        0
  68.4058        0
  68.4145        0
  68.4755        0
  68.4919        0
  68.5252        0
  68.5317        0
  68.5402        0
  68.5822        0
  68.5907        0
  68.6006        0
  68.6163        0
  68.6578        0
  68.6649        0
  68.6678        0
  68.6708        0
  68.6734        0
  68.6808        0
  68.6919        0
  68.7008        0
  68.7184        0
  68.8069        0
  68.8286        0
  68.8551        0
  68.9484        0
  68.9636        0
  69.0128        0
  69.0318        0
  69.0397        0
  69.0473        0
  69.0543        0
  69.0575        0
  69.0632        0
  69.0683        0
  69.0752        0
  69.0862        0
  69.0922        0
  69.1723        0
  69.1847        0
  69.2310        0
  69.2872        0
  69.2894        0
  69.3509        0
  69.4502        0
  69.4664        0
  69.4816        0
  69.4848        0
  69.4951        0
  69.5100        0
  69.5246        0
  69.5259        0
  69.5397        0
  69.5859        0
  69.5945        0
  69.6058        0
  69.6111        0
  69.6140        0
  69.6182        0
  69.6299        0
  69.6316        0
  69.6373        0
  69.6468        0
  69.6540        0
  69.6611        0
  69.6695        0
  69.6769        0
  69.6833        0
  69.6958        0
  69.7040        0
  69.7255        0
  69.7283        0
  69.7363        0
  69.7477        0
  69.7540        0
  69.7639        0
  69.7658        0
  69.7703        0
  69.7741        0
  69.7782        0
  69.7832        0
  69.7877        0
  69.7931        0
  69.7976        0
  69.8019        0
  69.8022        0
  69.8043        0
  69.8077        0
  69.8079        0
  69.8161        0
